DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
2015-01-01,EQ,951.00,954.40,945.05,951.60,952.30,952.05,949.13,973.95,616.8,886235,"84,11,51,918.05",12603
2015-01-02,EQ,950.40,969.30,950.40,952.05,968.00,965.30,965.25,973.95,616.8,1475096,"1,42,38,38,322.05",23437
2015-01-05,EQ,970.00,970.55,955.10,965.30,958.50,957.15,959.15,973.95,616.8,1199000,"1,15,00,19,172.20",25544
2015-01-06,EQ,954.00,956.55,937.55,957.15,941.45,942.25,948.51,973.95,616.8,2054920,"1,94,91,10,146.00",30301
2015-01-07,EQ,939.70,951.35,936.25,942.25,944.80,945.00,946.73,973.95,616.8,1436528,"1,36,00,04,596.90",34047
2015-01-08,EQ,954.25,968.95,948.20,945.00,964.50,964.85,963.78,973.95,616.8,2381456,"2,29,51,92,670.20",54369
2015-01-09,EQ,972.90,980.00,966.60,964.85,970.00,975.65,974.04,980.00,616.8,2246296,"2,18,79,74,339.35",34766
2015-01-12,EQ,969.40,974.40,964.50,975.65,966.20,967.05,968.74,980.00,616.8,1031603,"99,93,51,953.05",14478
2015-01-13,EQ,968.95,971.95,955.70,967.05,963.05,963.35,966.42,980.00,616.8,1457087,"1,40,81,65,249.05",18396
2015-01-14,EQ,960.05,974.65,959.70,963.35,965.00,963.90,966.41,980.00,616.8,921308,"89,03,58,519.25",18093
2015-01-15,EQ,990.00,998.20,970.75,963.90,988.50,993.15,988.71,998.20,616.8,2849619,"2,81,74,32,938.35",44588
2015-01-16,EQ,"1,002.20","1,014.90",998.55,993.15,"1,000.50","1,001.35","1,005.85","1,014.90",616.8,1955327,"1,96,67,55,961.05",26905
2015-01-19,EQ,"1,013.25","1,020.00","1,002.95","1,001.35","1,005.00","1,004.55","1,007.93","1,020.00",616.8,1059873,"1,06,82,82,601.55",18632
2015-01-20,EQ,"1,010.00","1,027.00","1,002.00","1,004.55","1,017.80","1,020.95","1,015.62","1,027.00",616.8,2126451,"2,15,96,72,440.65",26615
2015-01-21,EQ,"1,027.40","1,032.95","1,018.35","1,020.95","1,020.00","1,019.95","1,025.11","1,032.95",616.8,1685153,"1,72,74,66,769.25",27044
2015-01-22,EQ,"1,025.00","1,032.50","1,018.55","1,019.95","1,022.55","1,021.25","1,023.90","1,032.95",616.8,1617670,"1,65,63,40,164.55",19283
2015-01-23,EQ,"1,030.00","1,048.00","1,024.40","1,021.25","1,042.00","1,042.80","1,042.17","1,048.00",616.8,2496978,"2,60,22,79,882.25",31128
2015-01-27,EQ,"1,043.00","1,077.75","1,040.90","1,042.80","1,068.00","1,074.05","1,059.75","1,077.75",616.8,2490600,"2,63,94,03,462.25",29603
2015-01-28,EQ,"1,070.00","1,093.20","1,055.00","1,074.05","1,059.00","1,058.35","1,070.38","1,093.20",616.8,2841235,"3,04,12,05,642.90",42669
2015-01-29,EQ,"1,075.00","1,100.60","1,061.00","1,058.35","1,093.00","1,095.00","1,085.47","1,100.60",616.8,5141904,"5,58,13,81,282.20",55963
2015-01-30,EQ,"1,094.55","1,094.55","1,064.25","1,095.00","1,081.05","1,077.35","1,076.43","1,100.60",616.8,2642604,"2,84,45,71,343.45",50681
2015-02-02,EQ,"1,068.50","1,093.00","1,052.35","1,077.35","1,081.00","1,081.60","1,072.08","1,100.60",616.8,1427588,"1,53,04,88,677.95",30586
2015-02-03,EQ,"1,078.50","1,082.20","1,055.30","1,081.60","1,057.75","1,064.10","1,066.32","1,100.60",616.8,2550172,"2,71,93,07,744.30",39375
2015-02-04,EQ,"1,063.00","1,080.80","1,057.25","1,064.10","1,061.70","1,067.70","1,071.08","1,100.60",616.8,1549378,"1,65,95,04,401.70",23536
2015-02-05,EQ,"1,075.00","1,092.80","1,070.35","1,067.70","1,075.40","1,076.50","1,082.44","1,100.60",616.8,2014787,"2,18,08,88,487.90",36948
2015-02-06,EQ,"1,077.00","1,078.95","1,050.05","1,076.50","1,051.05","1,053.50","1,061.19","1,100.60",616.8,1725780,"1,83,13,81,602.20",32505
2015-02-09,EQ,"1,047.00","1,051.75","1,034.50","1,053.50","1,036.80","1,040.10","1,040.20","1,100.60",629.35,1307974,"1,36,05,55,437.60",29862
2015-02-10,EQ,"1,030.00","1,062.30","1,030.00","1,040.10","1,055.80","1,054.45","1,051.31","1,100.60",629.35,2318938,"2,43,79,26,629.55",44380
2015-02-11,EQ,"1,058.00","1,064.80","1,053.00","1,054.45","1,056.70","1,058.40","1,059.33","1,100.60",629.35,1040397,"1,10,21,22,137.55",20702
2015-02-12,EQ,"1,065.10","1,081.90","1,052.70","1,058.40","1,074.40","1,076.00","1,064.91","1,100.60",629.35,1381435,"1,47,11,01,288.10",28509
2015-02-13,EQ,"1,081.20","1,082.00","1,063.60","1,076.00","1,065.95","1,065.80","1,069.71","1,100.60",629.35,1928625,"2,06,30,77,807.25",28449
2015-02-16,EQ,"1,075.80","1,085.00","1,062.50","1,065.80","1,063.70","1,067.55","1,075.64","1,100.60",641.1,1847179,"1,98,68,94,446.80",30671
2015-02-18,EQ,"1,067.55","1,082.95","1,057.05","1,067.55","1,076.00","1,074.80","1,075.22","1,100.60",641.1,1345423,"1,44,66,30,079.00",22506
2015-02-19,EQ,"1,074.00","1,084.90","1,063.80","1,074.80","1,082.00","1,079.80","1,075.15","1,100.60",641.1,1126751,"1,21,14,28,813.00",20223
2015-02-20,EQ,"1,083.00","1,089.90","1,068.50","1,079.80","1,070.80","1,073.05","1,079.11","1,100.60",641.1,1551506,"1,67,42,44,277.95",24813
2015-02-23,EQ,"1,077.10","1,081.55","1,062.00","1,073.05","1,063.10","1,067.50","1,071.86","1,100.60",655.75,1395391,"1,49,56,68,541.85",21262
2015-02-24,EQ,"1,070.30","1,071.00","1,057.10","1,067.50","1,068.00","1,067.65","1,064.97","1,100.60",655.75,1461572,"1,55,65,24,805.15",23587
