Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-JAN-2026,9.475,9.475,8.72,9.19,9.475,-0.29,-3.01
02-JAN-2026,9.185,9.555,8.9675,9.45,9.185,0.27,2.89
05-JAN-2026,9.45,10.215,9.2925,10.02,9.45,0.57,6.03
06-JAN-2026,10.0225,10.285,9.6475,10.02,10.0225,0.00,-0.02
07-JAN-2026,10.0175,10.24,9.745,9.95,10.0175,-0.07,-0.67
08-JAN-2026,9.95,10.99,9.475,10.6,9.95,0.65,6.53
09-JAN-2026,10.6,11.035,10.2175,10.93,10.6,0.33,3.11
12-JAN-2026,10.925,11.945,10.5175,11.37,10.925,0.45,4.07
13-JAN-2026,11.3675,11.68,10.6375,11.2,11.3675,-0.17,-1.47
14-JAN-2026,11.1975,11.4725,11.0125,11.32,11.1975,0.12,1.09
16-JAN-2026,11.32,11.575,10.875,11.37,11.32,0.05,0.44
19-JAN-2026,11.3725,12.125,10.3925,11.83,11.3725,0.46,4.02
20-JAN-2026,11.8275,12.9025,10.995,12.73,11.8275,0.90,7.63
21-JAN-2026,12.73,14.43,12.4325,13.78,12.73,1.05,8.25
22-JAN-2026,13.78,14.3275,12.9075,13.35,13.78,-0.43,-3.12
23-JAN-2026,13.35,14.4325,12.2825,14.19,13.35,0.84,6.29
27-JAN-2026,14.1925,16.0575,13.9225,14.45,14.1925,0.26,1.81
28-JAN-2026,14.4525,14.51,13.44,13.53,14.4525,-0.92,-6.38
29-JAN-2026,13.525,14.1925,13.0725,13.37,13.525,-0.16,-1.15
30-JAN-2026,13.37,14.23,12.8825,13.63,13.37,0.26,1.94
01-FEB-2026,13.6325,16.1125,13.3475,15.1,13.6325,1.47,10.76
02-FEB-2026,15.095,15.5525,13.58,13.87,15.095,-1.23,-8.12
03-FEB-2026,13.865,15.465,11.85,12.9,13.865,-0.97,-6.96
04-FEB-2026,12.895,13.145,12.06,12.25,12.895,-0.65,-5.00
05-FEB-2026,12.2525,12.545,10.935,12.17,12.2525,-0.08,-0.67
06-FEB-2026,12.1675,12.345,11.16,11.94,12.1675,-0.23,-1.87
09-FEB-2026,11.94,12.28,10.67,12.19,11.94,0.25,2.09
10-FEB-2026,12.19,12.19,10.355,11.67,12.19,-0.52,-4.27
11-FEB-2026,11.665,11.7125,10.5575,11.55,11.665,-0.12,-0.99
12-FEB-2026,11.5475,12.1075,10.8475,11.73,11.5475,0.18,1.58
13-FEB-2026,11.725,13.5825,10.9625,13.29,11.725,1.57,13.35
16-FEB-2026,13.2925,13.8325,13.235,13.33,13.2925,0.04,0.28
17-FEB-2026,13.33,13.4775,11.625,12.67,13.33,-0.66,-4.95
18-FEB-2026,12.6725,12.7675,11.3525,12.22,12.6725,-0.45,-3.57
19-FEB-2026,12.2225,13.68,9.73,13.46,12.2225,1.24,10.12
20-FEB-2026,13.46,14.7825,13.095,14.36,13.46,0.90,6.69
23-FEB-2026,14.3625,14.4775,12.7725,14.17,14.3625,-0.19,-1.34
24-FEB-2026,14.1675,14.9475,12.3475,14.15,14.1675,-0.02,-0.12
